,address,nbtoken,NumNFT,FirstTimeOwner,FirstTokenName,FirstTokenSymbol,nb_token
0,0xd23d2052a2E793bFEb8432E70B9EcdCc59F52155,,10,False,Crazy Camels,Camel,1.0
0,0x48fFbBefC6609716AAb7a5F25939449fE9E0077E,,11,False,Astroheads,Astro,2.0
0,0x473174a21C1d02B874Ca14EA1727C3854670dD93,,1,True,Piano King NFT,PK,1.0
0,0x421D9270e977A92Ce7Ff738f7072F46338169219,,1,True,Piano King NFT,PK,1.0
0,0x1Eb9D964aDA6a68A5e3E4a8E2ec5F53656ad5026,,62,False,CryptoKitties,CK,3.0
0,0x9694737c582060543ea40307b56E4Ed050D7BcF8,,1,True,Piano King NFT,PK,1.0
0,0x1b56dD87127a4D6ffFDd93cBAcf7abf4A235e7aD,,6,True,Piano King NFT,PK,3.0
0,0x8332C9c551e658fc172B55fB6093346F157B99b1,,8,False,BarnBridge aUSDC jBOND,bb_jBOND_aUSDC,1.0
0,0xebF9A9B0fddA82dD3eB49f2c247679b4F9E818e6,,2,True,Piano King NFT,PK,2.0
0,0x9B700fd4de34Da831355A292ccd764c67D4fDF19,,2,True,Piano King NFT,PK,2.0
0,0xC6565F1CE3E6E5d97838f45EF0c9579c12Fe773C,,1,True,Piano King NFT,PK,1.0
0,0x7F01BC6f389eDBECd7d109F1885b8bDbd3D5Fc70,,1,True,Piano King NFT,PK,1.0
0,0xc4361d091eddBE4e0cc9A6FFE750121963FC7A41,,3,True,Piano King NFT,PK,1.0
0,0xc20b5122ed4A4E06A6b8CE9bdb75Ea6adf80B1ad,,1,True,Piano King NFT,PK,1.0
0,0xAC2c16Ae1A329044120afD9658E0c4F757fA26F5,,2,True,Piano King NFT,PK,1.0
0,0x14c911aDab8846126DCfD8635895A93832067dA1,,1,True,Piano King NFT,PK,1.0
0,0x3602D2857d9CbF8d708670E6584D883Eee33a2E2,,2,True,Piano King NFT,PK,2.0
0,0x2FdDE6A3f9075CD0F57F44759764295B93fF87F0,,1,True,Piano King NFT,PK,1.0
0,0x67168A0Ca747B3118480E14843bff587071EF8Ff,,29,False,Goobers,GOOBERS,1.0
0,0x917141fE8055145f46771AE8de64bfc7A0Caf471,,1,True,Piano King NFT,PK,1.0
